LoadLibrary Error :126
Error :agora::rtc::NodeRtcEngine::registerPlugin, :3811, not unload plugin "bytedance"

duration : 1, tx :451408, rx :4367, txbr :0, rxbr :0, txAudioBr :0, rxAudioBr :0, users :1
duration : 409, tx :199049493, rx :7077670, txbr :2626, rxbr :578, txAudioBr :77, rxAudioBr :56, users :2

duration : 411, tx :199804996, rx :7216650, txbr :3020, rxbr :555, txAudioBr :80, rxAudioBr :51, users :2

duration : 413, tx :200702161, rx :7353481, txbr :3588, rxbr :547, txAudioBr :76, rxAudioBr :54, users :2

duration : 415, tx :201577633, rx :7451910, txbr :3501, rxbr :393, txAudioBr :75, rxAudioBr :56, users :2

duration : 417, tx :202311116, rx :7526154, txbr :2935, rxbr :297, txAudioBr :76, rxAudioBr :52, users :2

duration : 419, tx :203130297, rx :7580696, txbr :3273, rxbr :217, txAudioBr :77, rxAudioBr :51, users :2

duration : 421, tx :203948899, rx :7638606, txbr :3276, rxbr :231, txAudioBr :82, rxAudioBr :53, users :2

duration : 423, tx :204970116, rx :7699097, txbr :4084, rxbr :241, txAudioBr :73, rxAudioBr :50, users :2

duration : 425, tx :205860920, rx :7756921, txbr :3563, rxbr :231, txAudioBr :82, rxAudioBr :53, users :2

duration : 427, tx :206749797, rx :7815485, txbr :3555, rxbr :234, txAudioBr :84, rxAudioBr :56, users :2

duration : 429, tx :207529220, rx :7886737, txbr :3119, rxbr :285, txAudioBr :81, rxAudioBr :52, users :2

duration : 431, tx :208421270, rx :7965816, txbr :3566, rxbr :316, txAudioBr :81, rxAudioBr :53, users :2

duration : 433, tx :209397774, rx :8051811, txbr :3902, rxbr :343, txAudioBr :83, rxAudioBr :54, users :2

duration : 435, tx :210375321, rx :8144121, txbr :3914, rxbr :369, txAudioBr :75, rxAudioBr :54, users :2

duration : 437, tx :211169570, rx :8242674, txbr :3176, rxbr :394, txAudioBr :84, rxAudioBr :55, users :2

duration : 439, tx :211919086, rx :8349607, txbr :2999, rxbr :427, txAudioBr :81, rxAudioBr :49, users :2

duration : 441, tx :212660043, rx :8472087, txbr :2962, rxbr :489, txAudioBr :79, rxAudioBr :52, users :2

duration : 443, tx :213561060, rx :8612793, txbr :3607, rxbr :563, txAudioBr :79, rxAudioBr :58, users :2

duration : 445, tx :214323654, rx :8751965, txbr :3047, rxbr :556, txAudioBr :78, rxAudioBr :56, users :2

duration : 447, tx :215235860, rx :8884124, txbr :3645, rxbr :528, txAudioBr :77, rxAudioBr :52, users :2

duration : 449, tx :216040101, rx :9000727, txbr :3220, rxbr :466, txAudioBr :81, rxAudioBr :50, users :2

duration : 451, tx :216799727, rx :9136755, txbr :3038, rxbr :544, txAudioBr :81, rxAudioBr :54, users :2

duration : 453, tx :217685141, rx :9289660, txbr :3543, rxbr :611, txAudioBr :76, rxAudioBr :52, users :2

duration : 455, tx :218627463, rx :9415655, txbr :3767, rxbr :503, txAudioBr :78, rxAudioBr :49, users :2

duration : 457, tx :219682483, rx :9563382, txbr :4224, rxbr :591, txAudioBr :82, rxAudioBr :54, users :2

duration : 459, tx :221154132, rx :9720448, txbr :5880, rxbr :627, txAudioBr :75, rxAudioBr :50, users :2

